"","X1","company","means_of_exchange","orig_yr","orig_loc_port_modern","orig_loc_region_modern","orig_loc_lat","orig_loc_long","dest_yr","dest_loc_port","dest_loc_region","dest_loc_lat","dest_loc_long","textile_quantity","textile_unit","quant_ells","units_ells","textile_category","textile_name","textile_color_arch","textile_pattern_arch","textile_process_arch","textile_fiber_arch","textile_geography_arch","textile_quality_arch","textile_quality_inferred","value_per_piece","deb_dec"
"24",24,"WIC","Ship: Koningin Hester",1713,"Vlissingen","Netherlands",51.455681,3.57649,1713,"Ouidah","Benin",6.3601,2.08266,6619,"ells",6619,NA,NA,"bontje",NA,NA,NA,NA,"Haarlem",NA,"Inexpensive",0.4,2647.6
"25",25,"WIC","Ship: Bosbeek",1713,"Texel","Netherlands",53.053921,4.79605,1713,"Elmina","Ghana",5.0847,-1.35093,4436,"ells",4436,NA,NA,"bontje",NA,NA,NA,NA,"Haarlem",NA,"Inexpensive",0.396145175834085,1757.3
"26",26,"WIC","Ship: Guntersteijn",1713,"Texel","Netherlands",53.053921,4.79605,1714,"Ardra","Benin",6.47216,2.62652,8190,"ells",8190,NA,NA,"bontje",NA,NA,NA,NA,"Haarlem",NA,"Inexpensive",0.406251526251526,3327.2
"27",27,"WIC","Ship: St Clara 2",1710,"Texel","Netherlands",53.053921,4.79605,1710,"Ouidah","Benin",6.3601,2.08266,204,"ps.",204,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.8,571.2
"28",28,"WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,140,"ps.",140,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.8,392
"29",29,"WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,60,"ps.",60,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.75,165
"30",30,"WIC","Ship: Eva Maria 2",1712,"Vlissingen","Netherlands",51.455681,3.57649,1712,"Elmina","Ghana",5.0847,-1.35093,160,"ps.",160,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",3.5,560
"31",31,"WIC","Ship: Koningin Hester",1713,"Vlissingen","Netherlands",51.455681,3.57649,1713,"Ouidah","Benin",6.3601,2.08266,140,"ps.",140,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.375,332.5
"32",32,"WIC","Ship: Koningin Hester",1713,"Vlissingen","Netherlands",51.455681,3.57649,1713,"Ouidah","Benin",6.3601,2.08266,153,"ps.",153,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",3.25,497.25
"33",33,"WIC","Ship: Bosbeek",1713,"Texel","Netherlands",53.053921,4.79605,1713,"Elmina","Ghana",5.0847,-1.35093,66,"ps.",66,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2,132
"34",34,"WIC","Ship: Bosbeek",1713,"Texel","Netherlands",53.053921,4.79605,1713,"Elmina","Ghana",5.0847,-1.35093,138,"ps.",138,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",1.8,248.4
"35",35,"WIC","Ship: Apam",1714,"Vlissingen","Netherlands",51.455681,3.57649,NA,"Elmina","Ghana",5.0847,-1.35093,200,"ps.",200,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.85,570
"36",36,"WIC","Ship: Jacoba Galeij",1714,"Texel","Netherlands",53.053921,4.79605,NA,"Elmina","Ghana",5.0847,-1.35093,1536,"ps.",1536,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.35,3609.6
"37",37,"WIC","Ship: Adrichem",1714,"Vlissingen","Netherlands",51.455681,3.57649,1715,"Loanda","Angola",-8.838333,13.234444,250,"ps.",250,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",3.625,906.25
"38",38,"WIC","Ship: Adrichem",1714,"Vlissingen","Netherlands",51.455681,3.57649,1715,"Loanda","Angola",-8.838333,13.234444,50,"ps.",50,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.85,142.5
"39",39,"WIC","Ship: Agatha",1714,"Vlissingen","Netherlands",51.455681,3.57649,1714,"Elmina","Ghana",5.0847,-1.35093,250,"ps.",250,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",3.25,812.5
"40",40,"WIC","Ship: Bosbeek",1715,"Texel","Netherlands",53.053921,4.79605,1715,"Loanda","Angola",-8.838333,13.234444,70,"ps.",70,NA,NA,"brawles",NA,NA,NA,NA,NA,NA,"Inexpensive",2.35,164.5
"41",41,"WIC","Ship: Eva Maria 2",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,225,"ps.",225,NA,NA,"cabajen",NA,NA,NA,NA,NA,NA,"Inexpensive",3.4,765
"42",42,"WIC","Ship: Accra",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,225,"ps.",225,NA,NA,"cabajen",NA,NA,NA,NA,NA,NA,"Inexpensive",3.4,765
"43",43,"WIC","Ship: St. Marcus",1713,"Texel","Netherlands",53.053921,4.79605,1713,"Ouidah","Benin",6.3601,2.08266,60,"ps.",60,NA,NA,"caffa",NA,NA,NA,NA,NA,NA,"Mid-range",8.25,495
